Date,Daily Cases
4/17/2020,46
4/18/2020,31
4/20/2020,12
4/21/2020,19
4/22/2020,10
4/23/2020,13
4/25/2020,6
4/26/2020,11
4/27/2020,2
5/1/2020,5
5/2/2020,15
5/3/2020,20
5/6/2020,11
5/7/2020,12
5/8/2020,10
5/9/2020,30
5/10/2020,26
5/11/2020,79
5/12/2020,37
5/13/2020,31
5/14/2020,40
5/15/2020,33
5/16/2020,44
5/17/2020,37
5/18/2020,26
5/19/2020,34
5/20/2020,15
5/21/2020,26
5/22/2020,42
5/23/2020,33
5/24/2020,23
5/25/2020,31
5/26/2020,71
5/29/2020,82
5/30/2020,41
5/31/2020,122
6/1/2020,79
6/2/2020,70
6/3/2020,108
6/4/2020,110
6/5/2020,116
6/6/2020,152
6/7/2020,132
6/9/2020,143
6/10/2020,143
6/11/2020,175
6/12/2020,133
6/13/2020,179
6/14/2020,195
6/15/2020,189
6/16/2020,165
6/17/2020,214
6/18/2020,302
6/19/2020,329
6/20/2020,458
6/21/2020,659
6/22/2020,713
6/23/2020,652
6/24/2020,719
6/25/2020,737
6/26/2020,774
6/27/2020,888
6/28/2020,816
6/29/2020,861
6/30/2020,869
7/1/2020,881
7/2/2020,998
7/3/2020,1658
7/4/2020,1572
7/5/2020,1277
7/6/2020,1419
7/7/2020,1422
7/8/2020,1590
7/9/2020,918
7/10/2020,762
7/11/2020,736
7/12/2020,800
7/13/2020,926
7/14/2020,815
7/15/2020,796
7/16/2020,788
7/17/2020,806
7/18/2020,667
7/19/2020,557
7/20/2020,510
7/21/2020,703
7/22/2020,842
7/23/2020,662
7/24/2020,683
7/25/2020,641
7/26/2020,506
7/27/2020,231
7/28/2020,509
7/29/2020,521
7/30/2020,586
7/31/2020,578
8/1/2020,517
8/2/2020,273
8/3/2020,391
8/4/2020,532
8/5/2020,535
8/6/2020,532
8/7/2020,532
8/8/2020,463
8/9/2020,389
8/10/2020,338
8/11/2020,479
8/12/2020,298
8/13/2020,356
8/14/2020,394
8/15/2020,234
8/16/2020,147
8/17/2020,235
8/18/2020,484
8/19/2020,395
8/20/2020,473
8/21/2020,447
8/22/2020,472
8/23/2020,373
8/24/2020,295
8/25/2020,475
8/26/2020,449
8/27/2020,520
8/28/2020,432
8/29/2020,461
8/30/2020,360
